id,idstudy,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,country,idcountry,annual,monthly,startyear,endyear,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last
78,4,0.154,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Colombia,21,1,0,1965,1979,15,15,1.0,15.0,1972.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
79,4,0.601,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jamaica,60,1,0,1955,1979,25,25,1.0,25.0,1967.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
80,4,0.574,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Jamaica,60,1,0,1955,1979,25,25,1.0,25.0,1967.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
81,4,0.568,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Jamaica,60,1,0,1955,1979,25,25,1.0,25.0,1967.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
82,4,0.067,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Mexico,73,1,0,1965,1979,15,15,1.0,15.0,1972.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
83,4,0.08,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Mexico,73,1,0,1965,1979,15,15,1.0,15.0,1972.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
84,4,0.118,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Mexico,73,1,0,1965,1979,15,15,1.0,15.0,1972.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
85,4,0.483,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Burma,13,1,0,1961,1979,19,19,1.0,19.0,1970.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
86,4,0.485,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Burma,13,1,0,1961,1979,19,19,1.0,19.0,1970.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
87,4,0.476,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Burma,13,1,0,1961,1979,19,19,1.0,19.0,1970.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
